,2020_zip_tot,2015_zip_tot,2010_zip_tot,pct_change_10_15,pct_change_15_20,pct_change_10_20,naive_10_15,naive_15_20,naive_10_20,IQR_10_15,IQR_15_20,IQR_10_20
11208,1565250961,886783240,737184255,0.03764377525908302,0.12034892177332224,0.07820363790719664,2,1,2,2,2,2
10024,7022217697,4521720438,3314902200,0.06406117617527363,0.09202886051924408,0.07795431894930083,2,2,2,2,2,2
11374,1362316809,1004660494,643807131,0.09308191364966989,0.06280051957444499,0.07783487871023076,1,3,2,2,2,2
10030,863232733,490294005,408494934,0.037179636895519064,0.11978401445742937,0.07769066875257091,3,1,2,2,2,2
11004,658352855,466179403,313091907,0.08286981495768919,0.07147274496932132,0.07715620644228571,1,2,2,2,2,2
11354,2822034580,1817522549,1343868638,0.06224476081455865,0.09198457746786248,0.07701202235886684,2,2,2,2,2,2
10472,870031349,548703729,415459371,0.05721148024880396,0.09657767000550099,0.07671467980811908,2,2,2,2,2,2
11423,578621449,350333383,276739070,0.04829184948158782,0.10556072276182915,0.07654553771691375,2,2,2,2,2,2
10025,5539861414,3776562341,2653705882,0.07312119895057001,0.07964368406194278,0.07637750100973517,1,2,2,2,2,2
11356,799757031,452031431,386391241,0.031877807261438296,0.12087681667369088,0.0754570711095024,3,1,2,2,2,2
10454,1108430610,720531159,539992017,0.05938320951261744,0.08996147723040959,0.07456358024709964,2,2,2,2,2,2
10018,7783483194,6097619807,3807447024,0.09876620828058713,0.05003247259253696,0.07412299038889936,1,3,2,2,2,2
11355,2270872904,1495257584,1112667205,0.06088948572293251,0.08716475105098476,0.07394676480660767,2,2,2,2,2,2
10457,1577781752,1035307600,775275721,0.05955289810112396,0.08791635415073329,0.07364096695870281,2,2,2,2,2,2
11368,3349574374,2061090551,1649148221,0.04560457866083456,0.101992174761661,0.0734281827766603,2,2,2,2,2,2
10040,902440373,598479106,444925229,0.06109041639230606,0.08561017382513914,0.0732802762483995,2,2,2,2,2,2
11377,2006096112,1299048064,991255591,0.05557212729950023,0.09080043696037454,0.07304172225570382,2,2,2,2,2,2
10038,3813825618,2686237341,1885836304,0.073317172681725,0.07261357712136918,0.07296531722881872,1,2,2,2,2,2
11420,742519623,569514913,368202985,0.09114774419920146,0.054485390057369854,0.07265994362244843,1,3,2,2,2,2
11436,335802930,226994708,167127053,0.06314816872918971,0.08146818999424688,0.07226905472985412,2,2,2,2,2,2
11209,2177518995,1347861468,1084870975,0.044367704847814826,0.1006857370267451,0.07215700199986919,2,2,2,2,2,2
10459,892150810,576705673,446905581,0.052319671804230694,0.09118103722224169,0.07157420226912392,2,2,2,2,2,2
10460,1147942126,730689841,575093741,0.049056516017064844,0.09455448495732965,0.0715640506195554,2,2,2,2,2,2
10455,983027434,655669162,496207813,0.05731460668491817,0.08436670931825407,0.07075522915606114,2,2,2,2,2,2
10035,1860380862,1284189379,939282069,0.06455133376525546,0.07694756313386719,0.07073150916996918,2,2,2,2,2,2
10305,1054698862,731343783,538689856,0.06305700911075118,0.07597301792211297,0.06949551579992619,2,2,2,2,2,2
10453,1154912337,812311156,590458188,0.06587592689894084,0.07291500874569357,0.06938967613803015,2,2,2,2,2,2
10031,1490606618,1032823430,763844917,0.06219481643521707,0.07613657639155358,0.06914297136512526,2,2,2,2,2,2
10304,950187244,607698363,487191866,0.045195683583487245,0.09351369356475447,0.06908175199716005,2,2,2,2,2,2
11229,1695796967,1089861533,870186797,0.04604836966410697,0.09244732598581118,0.06899613857645481,2,2,2,2,2,2
11435,1177209089,799595002,604541880,0.05752035585221238,0.08043018042955752,0.0689138921734227,2,2,2,2,2,2
10456,1403901102,923499122,722101571,0.05043126453347413,0.0873766568993628,0.06874432711054856,2,2,2,2,2,2
11372,1508370842,1068122885,777110427,0.06568216301214469,0.07146350133730373,0.06856892229453493,2,2,2,2,2,2
11362,1142995431,889635268,589219384,0.08589289897516417,0.05139643615973677,0.0685054628000985,1,3,2,2,2,2
10128,5962556050,4047484846,3077660275,0.05631369522061824,0.08056139775163973,0.06836875795382147,2,2,2,2,2,2
11416,364686704,242124393,188659919,0.051167149911085286,0.085366160316529,0.06812979237069494,2,2,2,2,2,2
10016,11588100130,8399895120,6004334491,0.06945323152599103,0.06646762283164032,0.06795938385087452,1,3,2,2,2,2
10010,6583104871,4718607986,3415790708,0.06675461190109577,0.0688662766447663,0.06780992227847227,2,2,2,2,2,2
11358,956660537,622367709,497794283,0.04568151148555577,0.08978835158719645,0.06750715720647604,2,2,2,2,2,2
10036,14882208618,11849858402,7827137293,0.08648076458366694,0.046624376420133506,0.06636637827945902,1,3,2,2,2,2
10467,1976446241,1324684624,1045369310,0.04850027785322664,0.083314365295448,0.06576517723871467,2,2,2,2,2,2
10463,1741145738,1215806909,923828193,0.05646394260107601,0.0744695280738008,0.06542869955411157,2,2,2,2,2,2
11361,970788621,648843948,519104531,0.04562771919524167,0.08391913652242833,0.06460128429098866,2,2,2,2,2,2
11426,597515012,359014818,321524314,0.022303177708067556,0.10725408037167727,0.06393109029400468,3,1,2,2,2,2
10475,1131300603,887583786,609876335,0.07793733856807683,0.04972062827626367,0.06373542776581687,1,3,2,2,2,2
11378,1304840625,843659964,706341556,0.036168860439221406,0.09113379195744176,0.06329622297799453,3,2,2,2,2,2
11419,527487700,349361447,286157460,0.040720192681859224,0.08589409604531495,0.06306721935556525,2,2,2,2,2,2
10301,1325732333,935318873,723402879,0.05272731814808829,0.07225783946780373,0.06244770210406325,2,2,2,2,2,2
10028,5304683020,3861071093,2916245729,0.057734662170824125,0.0655904703529786,0.061655300072136265,2,3,2,2,2,2
11224,1221258019,769443353,671798362,0.027513513634002784,0.09679675084321371,0.06159007305139608,3,2,2,2,2,2
10021,7133810508,5325526976,3925921403,0.0628799082975049,0.060209755492424355,0.06154399234977914,2,3,2,2,2,2
11365,1248959745,905435828,688200960,0.05640021342855306,0.06644424046438324,0.06141034630166753,2,3,2,2,2,2
10006,1462686475,1211285078,806602539,0.08471927256012202,0.03843896512562739,0.061326885954160915,1,3,2,2,2,2
10312,1458677436,989663158,808258438,0.04132772427955422,0.08067317757106984,0.06081805258490802,2,2,2,2,2,2
11412,453165036,299545317,251226906,0.03580803808539468,0.08632249311087126,0.06076461588667548,3,2,2,2,2,2
11415,579685344,450138333,321411849,0.0696872591113209,0.05188742776147515,0.06075000801123265,1,3,2,2,2,2
11429,329990703,220285903,183419125,0.03730964897249245,0.0841840147529831,0.06048787817919177,2,2,2,2,2,2
11235,2342538935,1542347491,1307108456,0.033651457670584195,0.08717865548439718,0.06007726227374244,3,2,2,2,2,2
10033,1258222428,967164714,702379087,0.06607012784639577,0.05402617448435332,0.06003104604817211,2,3,2,2,2,2
11375,2433450260,1775705009,1360860812,0.054657443970135056,0.06505081925120293,0.05984139130804467,2,3,2,2,2,2
11379,904281355,601509618,505845640,0.03524922245202178,0.08495618535187499,0.05981132626521801,3,2,2,2,2,2
10075,3305982846,2456317611,1853927085,0.05788479373180189,0.061214596241418784,0.05954838693191866,2,3,2,2,2,2
11367,1239106507,852384916,696148052,0.041326279677613265,0.07769179501553891,0.059353004216545324,2,2,2,2,2,2
11434,1380803966,1001534849,775901198,0.05237840717790965,0.06633384085936456,0.059333143521659304,2,3,2,2,2,2
10462,1273162629,933461589,716072850,0.05445451039146243,0.064038852352994,0.05923584111158631,2,3,2,2,2,2
11373,2383811996,1740665664,1346365267,0.05271422788125535,0.06490613162134085,0.05879263130972645,2,3,2,2,2,2
11694,764652378,452105512,433789275,0.00830564436257375,0.11082296141464498,0.05832370373243356,3,1,2,2,2,2
11203,1852375593,1250730781,1053414116,0.034934681825518954,0.08171547406704027,0.05806656689421619,3,2,2,2,2,2
10473,1030050921,735886954,587045503,0.046231683043970406,0.06957075154925674,0.05783685298253016,2,2,2,2,2,2
11417,493670284,344115329,281669516,0.0408612350238049,0.07484686323683598,0.057717558486269915,2,2,2,2,2,2
11418,781907039,536365452,446424108,0.0373913714641716,0.0782981627543482,0.05764701574156095,2,2,2,2,2,2
11428,305216331,214608742,174809944,0.04187653020930249,0.07298109890447635,0.05731443965679395,2,2,2,2,2,2
10017,13876545948,11208998383,7952049677,0.07106923360748318,0.04362125186124288,0.05725617255587756,1,3,2,2,2,2
11040,68803410,47510067,39580642,0.03719535162420873,0.07687393189925862,0.05684844535590594,3,2,2,2,2,2
10465,1103570966,875719138,635623380,0.06618604900205471,0.04733854004237026,0.056720275179460655,2,3,2,2,2,2
10466,1081922413,757424841,625164716,0.039127927780168825,0.07391847719742928,0.05637998931019106,2,2,2,2,2,2
10468,1654862383,1221248111,956539158,0.050074785521843745,0.06265330142387393,0.05634532117899482,2,3,3,2,2,2
11369,727305701,481718282,420760472,0.02742857220503958,0.08588734684298038,0.05625360891331499,3,2,3,2,2,2
11357,1146575377,780021080,669218390,0.031116400382580123,0.08008828168662019,0.05531831269438037,3,2,3,2,2,2
10019,21414024509,17388688366,12524413000,0.06782943663730223,0.04252455823306711,0.0551011381372728,1,3,3,2,2,2
10470,324682062,226645755,190953071,0.034866166183799674,0.07453889746351106,0.05451597865249558,3,2,3,2,2,2
11411,260928000,179997127,153624516,0.0321932367663631,0.07708759094717221,0.05440150169688507,3,2,3,2,2,2
11001,68754814,46780123,40509624,0.029202018848056843,0.08006116423822385,0.05432496447412394,3,2,3,2,2,2
10282,1238370192,963929700,730604707,0.05699413899550709,0.05138318175551437,0.05418492730356683,2,3,3,2,2,2
11360,700766915,513660837,414065704,0.04405033947229087,0.06409260950752138,0.05402383757972151,2,3,3,2,2,2
10464,275769088,181429769,163137559,0.021482469092568124,0.08734511335833095,0.05389941225384809,3,2,3,2,2,2
10458,1637246352,1211536511,968773562,0.04573789398400385,0.06207577959967625,0.05387517714859591,2,3,3,2,2,2
10314,3268762900,2355098315,1935358126,0.04003879704662072,0.06776301972013266,0.05380973926064758,2,2,3,2,2,2
10004,4043634847,2885005556,2408159373,0.036793547525334036,0.06985533164090718,0.053194713541075966,3,2,3,2,2,2
11433,953234966,638309761,569543706,0.023059484069396285,0.08351192571798616,0.052851913475053136,3,2,3,2,2,2
10022,18896397000,15553478260,11317698844,0.06564825617675751,0.03970539045001331,0.05259690113102233,2,3,3,2,2,2
11422,458506029,307554069,274807273,0.022771578264398684,0.08314029981964555,0.052523213011624215,3,2,3,2,2,2
10471,995827991,720278857,605397721,0.035361417337534506,0.06693197939366158,0.05102816631513862,3,2,3,2,2,2
11236,1508654019,1042346987,917295118,0.025889646037999814,0.07675145610048162,0.051012925786274144,3,2,3,2,2,2
10307,297156049,207826109,181968610,0.02692972709829955,0.07413011702513228,0.05026479896485325,3,2,3,2,2,2
10034,1118566405,913468699,688386431,0.058211005264662496,0.041342564168807217,0.049742902645192766,2,3,3,2,2,2
10310,529275808,360403516,326379149,0.020030887235206407,0.07988772579117276,0.04953267460007127,3,2,3,2,2,2
10005,2952555864,2515834061,1821648149,0.06670295737515519,0.03253130120632575,0.04947805721663601,2,3,3,2,2,2
10469,1025758922,717450238,633846658,0.025088864534225763,0.07411480778992918,0.04931555248970576,3,2,3,2,2,2
10302,354324036,249377518,219279201,0.026058143599982264,0.07277504709529237,0.04915660095286967,3,2,3,2,2,2
11364,1328634410,971856054,823556796,0.033669442556591545,0.0645368763410481,0.04898962795081374,3,3,3,2,2,2
11413,760707308,540511047,482409797,0.02300484625439836,0.070736488500456,0.0465985939209852,3,2,3,2,2,2
10308,537976566,389000894,342054997,0.02605568745555531,0.06699541152103095,0.046325336824132535,3,2,3,2,2,2
10306,1529821470,870011431,972999883,-0.022127046966404773,0.11949757860863275,0.04629173900398498,3,1,3,3,2,2
10474,741751558,581376117,474744905,0.04135636259808462,0.04992978462893016,0.045634286691371484,2,3,3,2,2,2
11691,1076326696,832588206,698635835,0.0357045384113901,0.052695512283204016,0.044165465640871204,3,3,3,2,2,2
10309,1259681181,964347539,842568968,0.02736702756769227,0.054885719107892195,0.04103544880252885,3,3,3,2,2,2
11370,1083799511,840903156,726527236,0.029671794825484543,0.05206020566510117,0.0408058033233929,3,3,3,2,2,2
11432,1771150063,1570169315,1210968388,0.05332583418643,0.024381613103745536,0.038752914387123916,2,3,3,2,2,2
11414,620446218,429321105,426939702,0.0011130880843024382,0.07642649931909085,0.03808701794652558,3,2,3,2,2,2
11427,548920420,373252169,386458171,-0.006929755648356517,0.08019312630651099,0.03571600928448171,3,2,3,2,2,2
10303,560713054,470946807,395328156,0.03562570643258445,0.03550872389032378,0.03556721350959191,3,3,3,2,2,2
11363,277364741,233324862,197294053,0.034116349932664214,0.03518518240119506,0.03465062814899178,3,3,3,2,2,2
11421,437747573,270408147,321791054,-0.034195641031480095,0.1011355777875107,0.031252413738992235,3,2,3,3,2,2
10023,10295582389,6707695971,7702442866,-0.027277465927066924,0.08947058659051565,0.029442854065368396,3,2,3,3,2,2
11697,273405307,194646933,209907168,-0.014982244100335107,0.07031564848550631,0.02678133902768609,3,2,3,3,2,2
10280,1399195457,1543919460,1113645448,0.06751881696262418,-0.019492885944535354,0.023088361003059443,2,3,3,2,3,2
11005,173281500,141984900,146700000,-0.006512495425019416,0.04064357633619298,0.01679220581504648,3,3,3,2,2,2
11234,4868287085,5263007395,4354574802,0.038622304844953215,-0.015471165472907722,0.011213927565697723,2,3,3,2,3,3
11693,364667905,348755919,333468964,0.009004802573203241,0.008962885265680676,0.00898384370176486,3,3,3,2,2,3
10452,1039683302,1627030938,1320279448,0.042667867011161986,-0.08567403806320462,-0.023609555308140462,2,3,3,2,3,3
